rule	status
absorb	Proven
aci_norm	Proven
alpha_equiv	Proven
and_elim	Proven
and_intro	Proven
arith_abs_eq	Proven
arith_abs_int_gt	Proven
arith_abs_real_gt	Proven
arith_div_total_zero_int	Proven
arith_div_total_zero_real	Proven
arith_divisible_elim	Proven
arith_elim_gt	Proven
arith_elim_int_gt	Proven
arith_elim_int_lt	Proven
arith_elim_leq	Proven
arith_elim_lt	Proven
arith_eq_elim_int	Proven
arith_eq_elim_real	Proven
arith_geq_ite_lift	Proven
arith_geq_norm1_int	Proven
arith_geq_norm1_real	Proven
arith_geq_tighten	Proven
arith_int_div_total	Proven
arith_int_div_total_neg	Proven
arith_int_div_total_one	Proven
arith_int_div_total_zero	Proven
arith_int_eq_conflict	Proven
arith_int_geq_tighten	Proven
arith_int_mod_total	Proven
arith_int_mod_total_neg	Proven
arith_int_mod_total_one	Proven
arith_int_mod_total_zero	Proven
arith_leq_ite_lift	Proven
arith_leq_norm	Proven
arith_max_geq1	Proven
arith_max_geq2	Proven
arith_min_lt1	Proven
arith_min_lt2	Proven
arith_mod_over_mod	Proven
arith_mod_over_mod_1	Proven
arith_mod_over_mod_mult	Proven
arith_mult_abs_comparison	Proven
arith_mult_neg	Proven
arith_mult_pos	Proven
arith_mult_sign	Proven
arith_mult_tangent	Proven
arith_poly_norm	Proven
arith_poly_norm_rel	Proven
arith_reduction	Proven
arith_string_pred_entail	Proven
arith_string_pred_safe_approx	Proven
arith_sum_ub	Proven
arith_to_int_elim_to_real	Proven
arith_trichotomy	Proven
array_read_over_write	Proven
array_read_over_write2	Proven
array_read_over_write_split	Proven
array_store_overwrite	Proven
array_store_self	Proven
array_store_swap	Proven
arrays_ext	Proven
arrays_read_over_write	Proven
arrays_read_over_write_1	Proven
arrays_read_over_write_contra	Proven
bool_and_conf	Proven
bool_and_conf2	Proven
bool_and_de_morgan	Proven
bool_double_not_elim	Proven
bool_dual_impl_eq	Proven
bool_eq_false	Proven
bool_eq_nrefl	Proven
bool_eq_true	Proven
bool_impl_elim	Proven
bool_impl_false1	Proven
bool_impl_false2	Proven
bool_impl_true1	Proven
bool_impl_true2	Proven
bool_implies_de_morgan	Proven
bool_implies_or_distrib	Proven
bool_not_eq_elim1	Proven
bool_not_eq_elim2	Proven
bool_not_false	Proven
bool_not_ite_elim	Proven
bool_not_true	Proven
bool_not_xor_elim	Proven
bool_or_and_distrib	Proven
bool_or_de_morgan	Proven
bool_or_taut	Proven
bool_or_taut2	Proven
bool_xor_comm	Proven
bool_xor_elim	Proven
bool_xor_false	Proven
bool_xor_nrefl	Proven
bool_xor_refl	Proven
bool_xor_true	Proven
bv_and_concat_pullup	Proven
bv_and_concat_pullup2	Proven
bv_and_concat_pullup3	Proven
bv_and_simplify_1	Proven
bv_and_simplify_2	Proven
bv_ashr_by_const_0	Proven
bv_ashr_by_const_1	Proven
bv_ashr_by_const_2	Proven
bv_ashr_zero	Proven
bv_bitblast_step	Proven
