rule	status
absorb	Proven
aci_norm	Proven
alpha_equiv	Proven
and_elim	Proven
and_intro	Proven
arith_mult_abs_comparison	Proven
arith_mult_neg	Proven
arith_mult_pos	Proven
arith_mult_sign	Proven
arith_mult_tangent	Proven
arith_poly_norm	Proven
arith_poly_norm_rel	Proven
arith_reduction	Proven
arith_string_pred_entail	Proven
arith_string_pred_safe_approx	Proven
arith_sum_ub	Proven
arith_trichotomy	Proven
arrays_ext	Proven
arrays_read_over_write	Proven
arrays_read_over_write_1	Proven
arrays_read_over_write_contra	Proven
bv_bitblast_step	Proven
bv_bitwise_slicing	Proven
bv_poly_norm	Proven
bv_poly_norm_eq	Proven
bv_repeat_elim	Proven
bv_smulo_elim	Proven
bv_umulo_elim	Proven
chain_m_resolution	Proven
chain_resolution	Proven
cnf_and_neg	Proven
cnf_and_pos	Proven
cnf_equiv_neg1	Proven
cnf_equiv_neg2	Proven
cnf_equiv_pos1	Proven
cnf_equiv_pos2	Proven
cnf_implies_neg1	Proven
cnf_implies_neg2	Proven
cnf_implies_pos	Proven
cnf_ite_neg1	Proven
cnf_ite_neg2	Proven
cnf_ite_neg3	Proven
cnf_ite_pos1	Proven
cnf_ite_pos2	Proven
cnf_ite_pos3	Proven
cnf_or_neg	Proven
cnf_or_pos	Proven
cnf_xor_neg1	Proven
cnf_xor_neg2	Proven
cnf_xor_pos1	Proven
cnf_xor_pos2	Proven
concat_cprop	Proven
concat_csplit	Proven
concat_eq	Proven
concat_lprop	Proven
concat_split	Proven
concat_unify	Proven
cong	Proven
contra	Proven
distinct_card_conflict	Proven
distinct_elim	Proven
distinct_false	Proven
distinct_true	Proven
distinct_values	Proven
dt_collapse_selector	Proven
dt_collapse_tester	Proven
dt_collapse_tester_singleton	Proven
dt_collapse_updater	Proven
dt_cons_eq	Proven
dt_cons_eq_clash	Proven
dt_cycle	Proven
dt_inst	Proven
dt_split	Proven
dt_updater_elim	Proven
eq_resolve	Proven
equiv_elim1	Proven
equiv_elim2	Proven
evaluate	Proven
exists_elim	Proven
exists_string_length	Proven
factoring	Proven
false_elim	Proven
false_intro	Proven
ho_cong	Proven
implies_elim	Proven
instantiate	Proven
int_tight_lb	Proven
int_tight_ub	Proven
int_to_bv_elim	Proven
ite_elim1	Proven
ite_elim2	Proven
ite_eq	Proven
modus_ponens	Proven
nary_cong	Proven
not_and	Proven
not_equiv_elim1	Proven
not_equiv_elim2	Proven
not_implies_elim1	Proven
not_implies_elim2	Proven
not_ite_elim1	Proven
not_ite_elim2	Proven
not_not_elim	Proven
not_or_elim	Proven
not_xor_elim1	Proven
not_xor_elim2	Proven
pairwise_cong	Proven
process_scope	Proven
quant_dt_split	Proven
quant_merge_prenex	Proven
quant_miniscope_and	Proven
quant_miniscope_ite	Proven
quant_miniscope_or	Proven
quant_unused_vars	Proven
quant_var_elim_eq	Proven
quant_var_reordering	Proven
re_concat	Proven
re_eq_elim	Proven
re_inter	Proven
re_inter_inclusion	Proven
re_loop_elim	Proven
re_unfold_neg	Proven
re_unfold_neg_concat_fixed	Proven
re_unfold_pos	Proven
re_union_inclusion	Proven
refl	Proven
reordering	Proven
resolution	Proven
scope	Proven
seq_eval_op	Proven
sets_eval_op	Proven
sets_ext	Proven
sets_insert_elim	Proven
sets_singleton_inj	Proven
skolem_intro	Proven
skolemize	Proven
split	Proven
str_ctn_multiset_subset	Proven
str_in_re_concat_star_char	Proven
str_in_re_consume	Proven
str_in_re_eval	Proven
str_in_re_sigma	Proven
str_in_re_sigma_star	Proven
str_indexof_re_eval	Proven
str_overlap_endpoints_ctn	Proven
str_overlap_endpoints_indexof	Proven
str_overlap_endpoints_replace	Proven
str_overlap_split_ctn	Proven
str_replace_re_all_eval	Proven
str_replace_re_eval	Proven
string_code_inj	Proven
string_decompose	Proven
string_eager_reduction	Proven
string_ext	Proven
string_length_non_empty	Proven
string_length_pos	Proven
string_reduction	Proven
string_seq_unit_inj	Proven
symm	Proven
trans	Proven
true_elim	Proven
true_intro	Proven
ubv_to_int_elim	Proven
xor_elim1	Proven
xor_elim2	Proven

summary
Proven	164
Unproven	0
OutOfScope	0
Total	164
