rule,proof_loc,proof_files,eo_prog_loc,eo_prog_defs
Bv_extract_mult_leading_bit,124076,49,1112,202
Bv_mult_slt_mult_1,117195,47,1114,202
Bv_mult_slt_mult_2,117195,47,1114,202
String_reduction,115010,51,1316,215
Bv_bitblast_step,113246,54,1475,262
Quant_dt_split,112540,67,1139,203
Evaluate,111927,41,1616,271
Quant_var_elim_eq,106242,64,478,74
Seq_eval_op,80754,34,1330,245
Str_in_re_consume,78932,24,1465,258
Str_ctn_multiset_subset,78885,38,1337,249
Alpha_equiv,75702,49,1133,204
Skolemize,73834,48,488,76
Instantiate,72507,48,1106,198
Str_len_replace_all_inv,71942,34,281,29
Str_replace_all_no_contains,71896,34,281,29
Str_replace_all_empty,71873,34,263,21
Str_replace_all_self,71864,34,262,21
Str_replace_all_id,71843,34,246,15
Str_overlap_endpoints_replace,70172,33,1321,247
Str_overlap_endpoints_ctn,70169,33,1319,247
Str_overlap_split_ctn,70111,33,1313,245
Str_overlap_endpoints_indexof,70098,33,1319,247
Sets_member_singleton,63961,33,246,15
Sets_subset_elim,63961,33,246,15
Sets_is_empty_elim,63912,33,246,15
Sets_inter_comm,63911,33,246,15
Sets_union_comm,63897,33,246,15
Sets_choose_singleton,63876,33,245,15
Sets_eq_singleton_emp,63794,33,280,29
Sets_inter_emp1,63792,33,280,29
Sets_inter_emp2,63792,33,280,29
Sets_minus_emp1,63792,33,280,29
Sets_minus_emp2,63792,33,280,29
Sets_union_emp1,63792,33,280,29
Sets_union_emp2,63792,33,280,29
Sets_member_emp,63789,33,280,29
Sets_minus_self,63783,33,246,15
Sets_eval_op,61158,32,1298,242
Str_replace_re_all_eval,55898,24,1334,244
Distinct_true,55878,28,1156,212
Distinct_values,55530,28,1139,208
Dt_cons_eq_clash,55515,28,1138,208
Dt_collapse_updater,54678,24,1093,198
Str_indexof_re_eval,54395,22,1324,240
Str_replace_re_eval,54135,23,1324,240
Dt_cycle,52781,25,315,36
Str_replace_one_pre,46598,31,1128,207
Str_indexof_contains_concat_pre,46421,31,1122,206
Str_replace_find_pre,46329,31,1122,206
Str_repl_repl_lookahead_id_simp,46180,31,283,29
Dt_cons_eq,44469,24,420,66
Aci_norm,40876,10,1234,227
Dt_collapse_tester,39684,22,304,34
Re_concat_merge,39350,24,392,57
Str_in_re_contains,39076,22,248,15
Bv_and_concat_pullup,38726,18,1133,207
Bv_or_concat_pullup,38726,18,1133,207
Bv_xor_concat_pullup,38726,18,1133,207
Bv_and_concat_pullup2,38618,18,1133,207
Bv_and_concat_pullup3,38618,18,1135,207
Bv_or_concat_pullup2,38618,18,1133,207
Bv_or_concat_pullup3,38618,18,1135,207
Bv_xor_concat_pullup2,38618,18,1133,207
Bv_xor_concat_pullup3,38618,18,1135,207
Bv_mult_pow2_1,38436,29,409,61
Bv_mult_pow2_2,38436,29,409,61
Str_from_int_no_ctn_nondigit,37610,21,280,29
Pairwise_cong,37541,20,275,23
Cong,37492,20,396,58
Nary_cong,37492,20,276,23
Ho_cong,37470,20,254,17
Re_concat_star_repeat,37176,21,394,57
Re_concat_star_swap,37151,21,382,54
Re_star_union_drop_emp,37149,21,390,57
Re_star_union_char,37101,21,378,54
Str_in_re_from_int_nemp_dig_range,36748,20,265,22
Re_inter_cstring_neg,36558,20,281,29
Str_in_re_inter_elim,36320,19,388,55
Str_in_re_union_elim,36320,19,388,55
Re_inter_cstring,36312,20,283,29
Str_in_re_from_int_dig_range,36261,20,247,16
Re_in_cstring,36258,19,246,15
Re_union_const_elim,36246,19,280,29
Re_inter_all,36098,19,390,57
Re_union_all,36077,19,380,54
Re_inter_inclusion,35976,19,1398,245
Re_union_inclusion,35975,19,1398,245
Concat_cprop,35281,12,1324,245
Quant_unused_vars,35016,9,503,83
Quant_miniscope_ite,34644,11,436,67
Quant_miniscope_or,34216,11,460,71
Re_unfold_neg_concat_fixed,34105,16,426,63
Re_concat_star_nullable1,32091,18,397,58
Re_concat_star_nullable2,32090,18,397,58
Bv_ult_add_one,30408,24,407,61
Bv_and_simplify_1,29712,22,393,58
Bv_and_simplify_2,29712,22,393,58
Bv_or_simplify_1,29647,22,393,58
Bv_or_simplify_2,29647,22,393,58
Re_eq_elim,29122,12,429,67
Bv_xor_ones,28859,22,404,61
Bv_concat_extract_merge,28851,15,407,61
Bv_concat_merge_const,27524,14,409,61
Arith_string_pred_safe_approx,27403,13,475,71
Arith_string_pred_entail,27336,13,413,60
Str_in_re_eval,25138,9,1302,237
Bv_sign_extend_eq_const_1,24792,19,289,29
Bv_sign_extend_eq_const_2,24792,19,289,29
Bv_sign_extend_ult_const_2,24772,19,283,29
Bv_sign_extend_ult_const_4,24772,19,283,29
Bv_zero_extend_eq_const_1,24771,19,286,29
Bv_zero_extend_eq_const_2,24771,19,286,29
Bv_sign_extend_ult_const_1,24759,19,285,29
Bv_sign_extend_ult_const_3,24759,19,285,29
Bv_zero_extend_ult_const_1,24759,19,285,29
Bv_zero_extend_ult_const_2,24759,19,285,29
Re_unfold_pos,24436,13,325,34
Str_to_int_concat_neg_one,24290,18,391,58
Str_replace_find_base,24247,17,1106,202
Str_eq_ctn_false,24165,18,392,58
Str_replace_find_first_concat,24152,17,284,29
Str_contains_concat_find,24126,18,392,58
Str_contains_concat_find_contra,24096,18,392,58
Bv_mult_pow2_2b,23948,23,1106,202
Bv_xor_simplify_1,23720,13,394,57
Bv_xor_simplify_2,23720,13,392,57
Bv_xor_simplify_3,23720,13,392,57
Str_update_in_first_concat,23647,16,284,29
Str_indexof_contains_pre,23490,16,282,29
Bv_extract_concat_2,23439,11,409,61
Bv_extract_concat_3,23414,11,409,61
Str_contains_split_char,23391,16,391,56
Bv_extract_concat_1,23343,11,395,58
Bv_extract_concat_4,23342,11,408,61
Str_leq_concat_true,23014,15,393,58
Str_leq_concat_false,22968,15,393,58
Re_unfold_neg,22900,13,400,58
Dt_collapse_selector,22713,10,1093,199
Str_substr_len_include_pre,22644,15,1120,205
Str_substr_concat2,22579,15,400,59
Arrays_ext,21539,12,250,16
Bv_udiv_pow2_not_one,21476,21,283,29
Bv_urem_pow2_not_one,21475,21,283,29
Bv_ashr_by_const_1,21229,20,282,29
Bv_lshr_by_const_1,21229,20,282,29
Bv_shl_by_const_1,21229,20,282,29
Concat_eq,21186,9,1146,212
Concat_lprop,21067,11,1140,207
Seq_rev_concat,20955,12,1122,206
String_eager_reduction,20796,12,1138,204
Str_substr_combine3,20696,14,285,29
Str_substr_combine4,20656,14,285,29
Str_substr_combine1,20625,14,285,29
Concat_split,20618,11,1142,207
Str_substr_combine2,20578,14,285,29
Str_substr_replace,20498,14,282,29
Str_substr_concat1,20431,14,282,29
Str_substr_len_include,20418,14,282,29
Str_substr_ctn_contra,20365,14,282,29
Str_contains_repl_char,20297,13,284,29
