rule,order,proof_loc,proof_files,proof_reach_loc,proof_reach_files,rule_loc,rule_defs,rule_own_loc,rule_reach_loc
Scope,1,1412,3,1412,3,249,16,4,249
Process_scope,2,574,1,1827,3,44,11,4,289
Ite_eq,3,2224,3,3477,5,6,1,6,248
Split,4,85,1,3339,5,3,1,3,245
Resolution,5,3942,2,7196,6,147,40,11,410
Chain_resolution,6,20,1,7196,6,44,8,5,436
Chain_m_resolution,7,20,1,7196,6,34,7,8,465
Factoring,8,20,1,7196,6,3,1,3,401
Reordering,9,20,1,7196,6,4,1,4,400
Eq_resolve,10,315,2,1568,4,3,1,3,260
Modus_ponens,11,178,1,1431,3,3,1,3,260
Not_not_elim,12,175,1,1428,3,3,1,3,248
Contra,13,175,1,1428,3,3,1,3,260
And_elim,14,2203,2,5457,6,18,5,4,384
And_intro,15,37,1,1290,3,3,1,3,248
Not_or_elim,16,18,1,5457,6,4,1,4,388
Implies_elim,17,241,1,1494,3,3,1,3,248
Not_implies_elim1,18,152,1,1405,3,3,1,3,248
Not_implies_elim2,19,154,1,1407,3,3,1,3,248
Equiv_elim1,20,18,1,5457,6,3,1,3,248
Equiv_elim2,21,18,1,5457,6,3,1,3,248
Not_equiv_elim1,22,18,1,5457,6,3,1,3,248
Not_equiv_elim2,23,18,1,5457,6,3,1,3,248
Xor_elim1,24,18,1,5457,6,3,1,3,248
Xor_elim2,25,18,1,5457,6,3,1,3,248
Not_xor_elim1,26,18,1,5457,6,3,1,3,248
Not_xor_elim2,27,18,1,5457,6,3,1,3,248
Ite_elim1,28,18,1,5457,6,3,1,3,248
Ite_elim2,29,18,1,5457,6,3,1,3,248
Not_ite_elim1,30,18,1,5457,6,3,1,3,248
Not_ite_elim2,31,18,1,5457,6,3,1,3,248
Not_and,32,18,1,5457,6,7,2,3,256
Cnf_and_pos,33,110,1,3364,5,4,1,4,385
Cnf_and_neg,34,75,1,3329,5,3,1,3,253
Cnf_or_pos,35,67,1,3321,5,3,1,3,245
Cnf_or_neg,36,124,1,3378,5,4,1,4,385
