rule,proof_loc,proof_files,eo_prog_loc,eo_prog_defs
Bv_extract_mult_leading_bit,124075,49,1112,202
Bv_mult_slt_mult_1,117194,47,1114,202
Bv_mult_slt_mult_2,117194,47,1114,202
String_reduction,115009,51,1316,215
Bv_bitblast_step,113245,54,1475,262
Quant_dt_split,112539,67,1139,203
Evaluate,111926,41,1616,271
Quant_var_elim_eq,106241,64,478,74
Seq_eval_op,80753,34,1330,245
Str_in_re_consume,78931,24,1465,258
Str_ctn_multiset_subset,78884,38,1337,249
Alpha_equiv,75701,49,1133,204
Skolemize,73833,48,488,76
Instantiate,72506,48,1106,198
Str_len_replace_all_inv,71941,34,281,29
Str_replace_all_no_contains,71895,34,281,29
Str_replace_all_empty,71872,34,263,21
Str_replace_all_self,71863,34,262,21
Str_replace_all_id,71842,34,246,15
Str_overlap_endpoints_replace,70171,33,1321,247
Str_overlap_endpoints_ctn,70168,33,1319,247
Str_overlap_split_ctn,70110,33,1313,245
Str_overlap_endpoints_indexof,70097,33,1319,247
Sets_member_singleton,63960,33,246,15
Sets_subset_elim,63960,33,246,15
Sets_is_empty_elim,63911,33,246,15
Sets_inter_comm,63910,33,246,15
Sets_union_comm,63896,33,246,15
Sets_choose_singleton,63875,33,245,15
Sets_eq_singleton_emp,63793,33,280,29
Sets_inter_emp1,63791,33,280,29
Sets_inter_emp2,63791,33,280,29
Sets_minus_emp1,63791,33,280,29
Sets_minus_emp2,63791,33,280,29
Sets_union_emp1,63791,33,280,29
Sets_union_emp2,63791,33,280,29
Sets_member_emp,63788,33,280,29
Sets_minus_self,63782,33,246,15
Sets_eval_op,61157,32,1298,242
Str_replace_re_all_eval,55897,24,1334,244
Distinct_true,55877,28,1156,212
Distinct_values,55529,28,1139,208
Dt_cons_eq_clash,55514,28,1138,208
Dt_collapse_updater,54677,24,1093,198
Str_indexof_re_eval,54394,22,1324,240
Str_replace_re_eval,54134,23,1324,240
Dt_cycle,52780,25,315,36
Str_replace_one_pre,46597,31,1128,207
Str_indexof_contains_concat_pre,46420,31,1122,206
Str_replace_find_pre,46328,31,1122,206
Str_repl_repl_lookahead_id_simp,46179,31,283,29
Dt_cons_eq,44468,24,420,66
Aci_norm,40875,10,1234,227
Dt_collapse_tester,39683,22,304,34
Re_concat_merge,39349,24,392,57
Str_in_re_contains,39075,22,248,15
Bv_and_concat_pullup,38725,18,1133,207
Bv_or_concat_pullup,38725,18,1133,207
Bv_xor_concat_pullup,38725,18,1133,207
Bv_and_concat_pullup2,38617,18,1133,207
Bv_and_concat_pullup3,38617,18,1135,207
Bv_or_concat_pullup2,38617,18,1133,207
Bv_or_concat_pullup3,38617,18,1135,207
Bv_xor_concat_pullup2,38617,18,1133,207
Bv_xor_concat_pullup3,38617,18,1135,207
Bv_mult_pow2_1,38435,29,409,61
Bv_mult_pow2_2,38435,29,409,61
Str_from_int_no_ctn_nondigit,37609,21,280,29
Pairwise_cong,37540,20,275,23
Cong,37491,20,396,58
Nary_cong,37491,20,276,23
Ho_cong,37469,20,254,17
Re_concat_star_repeat,37175,21,394,57
Re_concat_star_swap,37150,21,382,54
Re_star_union_drop_emp,37148,21,390,57
Re_star_union_char,37100,21,378,54
Str_in_re_from_int_nemp_dig_range,36747,20,265,22
Re_inter_cstring_neg,36557,20,281,29
Str_in_re_inter_elim,36319,19,388,55
Str_in_re_union_elim,36319,19,388,55
Re_inter_cstring,36311,20,283,29
Str_in_re_from_int_dig_range,36260,20,247,16
Re_in_cstring,36257,19,246,15
Re_union_const_elim,36245,19,280,29
Re_inter_all,36097,19,390,57
Re_union_all,36076,19,380,54
Re_inter_inclusion,35975,19,1398,245
Re_union_inclusion,35974,19,1398,245
Concat_cprop,35280,12,1324,245
Quant_unused_vars,35015,9,503,83
Quant_miniscope_ite,34643,11,436,67
Quant_miniscope_or,34215,11,460,71
Re_unfold_neg_concat_fixed,34104,16,426,63
Re_concat_star_nullable1,32090,18,397,58
Re_concat_star_nullable2,32089,18,397,58
Bv_ult_add_one,30407,24,407,61
Bv_and_simplify_1,29711,22,393,58
Bv_and_simplify_2,29711,22,393,58
Bv_or_simplify_1,29646,22,393,58
Bv_or_simplify_2,29646,22,393,58
Re_eq_elim,29121,12,429,67
Bv_xor_ones,28858,22,404,61
